Date,cumulative,SPY_Price
2014-03-10,270649.61788908264,241726.6347821212
2014-03-11,269966.31666924333,240531.86605354454
2014-03-12,270874.6695048883,240596.1043039432
2014-03-13,268386.16667282616,237898.25460929537
2014-03-14,268068.62983356067,237230.23169288275
2014-03-17,269324.63258613786,239375.65595741654
2014-03-18,272237.78226571705,241084.29148365854
2014-03-19,269915.14682366594,239799.6048867333
2014-03-20,270298.85425227234,241199.908572719
2014-03-21,267584.4218513706,239208.64042693246
2014-03-24,264729.18498925044,238219.4262585267
2014-03-25,266147.5456014359,239349.95673670468
2014-03-26,262586.9497075396,237628.4814014877
2014-03-27,261491.96667292557,237127.4544127973
2014-03-28,262095.40304559033,238296.52392066212
2014-03-31,263413.48567136447,240249.23343400005
2014-04-01,266651.1916588676,241842.25187118162
2014-04-02,266559.81547429966,242651.61070012834
2014-04-03,263941.3581958279,242330.439050897
2014-04-04,258426.55631309113,239465.57382576517
2014-04-07,254993.90022779358,236819.12257254103
2014-04-08,258626.75635167095,237795.49693197178
2014-04-09,262421.8520430017,240352.01071408548
2014-04-10,256529.60023528084,235303.20179749484
2014-04-11,253779.27409029863,233183.4571509111
2014-04-14,255363.10408370965,235020.56917795032
2014-04-15,256814.18277930914,236639.26723308192
2014-04-16,258740.09446712837,239118.72255858383
2014-04-17,258959.82288507518,239452.73401679014
2014-04-21,260836.80865058466,240287.77246368688
2014-04-22,263335.48532147735,241379.76391217805
2014-04-23,261690.2053063949,240814.49867308905
2014-04-24,263591.09809959255,241302.68585280445
2014-04-25,258375.91140932607,239324.25751599294
2014-04-28,256291.8165764663,240082.2375062778
2014-04-29,258310.52162910724,241199.908572719
2014-04-30,258822.83866321045,241919.32993055528
2014-05-01,259909.43297488897,241945.02915126708
2014-05-02,259829.49409038172,241598.15828132394
2014-05-05,261444.28178612379,242060.6462403275
2014-05-06,258744.56136670645,239953.76100548054
2014-05-07,257384.55948358495,241366.92410320303
2014-05-08,256223.42462605238,241109.97110160856
2014-05-09,256801.21501934167,241469.70138328848
2014-05-12,260486.97974755368,243820.66060523133
2014-05-13,260422.0141908658,244039.07457713902
2014-05-14,259068.56545364374,242882.84487824922
2014-05-15,257837.60009087092,240750.26042269042
2014-05-16,258766.9160057284,241585.3184723489
2014-05-19,260084.64408454055,242471.75536066928
2014-05-20,260636.5402599421,240942.9751738863
2014-05-21,260377.588711315,242972.78234935962
2014-05-22,261990.17309583697,243563.72720639862
2014-05-23,263502.3451131523,244540.10156582942
2014-05-27,264530.4721196688,246043.18253190053
2014-05-28,263557.1736385813,245863.32719244147
2014-05-29,265165.91950321745,247135.15437762998
2014-05-30,264364.3436025762,247533.40408623492
2014-06-02,263742.9015120856,247816.03670577938
